Intermediate,Pair,Parent_1,Parent_2
CC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(C)(C)C)ccc1N[C@H]2c1ccccc1,130,CC[N@H+](CCO)C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(C)(C)C)=CC=C1N[C@H]2C1=CC=CC=C1,CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Br)=CC(F)=C1N[C@H]2C1=CC=CC=C1
CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(C)(C)C)ccc1N[C@H]2c1ccccc1,130,CC[N@H+](CCO)C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(C)(C)C)=CC=C1N[C@H]2C1=CC=CC=C1,CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Br)=CC(F)=C1N[C@H]2C1=CC=CC=C1
CC[N@H+](CCO)C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(C)(C)C)cc(F)c1N[C@H]2c1ccccc1,130,CC[N@H+](CCO)C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(C)(C)C)=CC=C1N[C@H]2C1=CC=CC=C1,CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Br)=CC(F)=C1N[C@H]2C1=CC=CC=C1
CC(=O)NCC[N@H+](CCO)C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(C)(C)C)cc(F)c1N[C@H]2c1ccccc1,130,CC[N@H+](CCO)C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(C)(C)C)=CC=C1N[C@H]2C1=CC=CC=C1,CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Br)=CC(F)=C1N[C@H]2C1=CC=CC=C1
CC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(C)(C)C)cc(F)c1N[C@H]2c1ccccc1,130,CC[N@H+](CCO)C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(C)(C)C)=CC=C1N[C@H]2C1=CC=CC=C1,CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Br)=CC(F)=C1N[C@H]2C1=CC=CC=C1
CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(C)(C)C)cc(F)c1N[C@H]2c1ccccc1,130,CC[N@H+](CCO)C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(C)(C)C)=CC=C1N[C@H]2C1=CC=CC=C1,CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Br)=CC(F)=C1N[C@H]2C1=CC=CC=C1
CC[N@H+](CCO)C[C@H]1CC[C@@H]2[C@H](O1)c1cc(Br)ccc1N[C@H]2c1ccccc1,130,CC[N@H+](CCO)C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(C)(C)C)=CC=C1N[C@H]2C1=CC=CC=C1,CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Br)=CC(F)=C1N[C@H]2C1=CC=CC=C1
CC(=O)NCC[N@H+](CCO)C[C@H]1CC[C@@H]2[C@H](O1)c1cc(Br)ccc1N[C@H]2c1ccccc1,130,CC[N@H+](CCO)C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(C)(C)C)=CC=C1N[C@H]2C1=CC=CC=C1,CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Br)=CC(F)=C1N[C@H]2C1=CC=CC=C1
CC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(Br)ccc1N[C@H]2c1ccccc1,130,CC[N@H+](CCO)C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(C)(C)C)=CC=C1N[C@H]2C1=CC=CC=C1,CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Br)=CC(F)=C1N[C@H]2C1=CC=CC=C1
CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(Br)ccc1N[C@H]2c1ccccc1,130,CC[N@H+](CCO)C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(C)(C)C)=CC=C1N[C@H]2C1=CC=CC=C1,CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Br)=CC(F)=C1N[C@H]2C1=CC=CC=C1
CC[N@H+](CCO)C[C@H]1CC[C@@H]2[C@H](O1)c1cc(Br)cc(F)c1N[C@H]2c1ccccc1,130,CC[N@H+](CCO)C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(C)(C)C)=CC=C1N[C@H]2C1=CC=CC=C1,CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Br)=CC(F)=C1N[C@H]2C1=CC=CC=C1
CC(=O)NCC[N@H+](CCO)C[C@H]1CC[C@@H]2[C@H](O1)c1cc(Br)cc(F)c1N[C@H]2c1ccccc1,130,CC[N@H+](CCO)C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(C)(C)C)=CC=C1N[C@H]2C1=CC=CC=C1,CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Br)=CC(F)=C1N[C@H]2C1=CC=CC=C1
CC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(Br)cc(F)c1N[C@H]2c1ccccc1,130,CC[N@H+](CCO)C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(C)(C)C)=CC=C1N[C@H]2C1=CC=CC=C1,CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Br)=CC(F)=C1N[C@H]2C1=CC=CC=C1
C[NH2+]CCS(=O)(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(C)(C)C)ccc1N[C@H]2c1ccccc1,131,CC[N@H+](CCO)C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(C)(C)C)=CC=C1N[C@H]2C1=CC=CC=C1,C[NH2+]CCS(=O)(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1
CC[N@H+](CCO)C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccccc1,131,CC[N@H+](CCO)C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(C)(C)C)=CC=C1N[C@H]2C1=CC=CC=C1,C[NH2+]CCS(=O)(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1
Cc1ccc(C(=O)N(CC[NH3+])C[C@H]2CC[C@@H]3[C@H](O2)c2cc(C(C)(C)C)ccc2N[C@H]3c2ccccc2)cc1,132,CC[N@H+](CCO)C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(C)(C)C)=CC=C1N[C@H]2C1=CC=CC=C1,CC1=CC=C(C(=O)N(CC[NH3+])C[C@H]2CC[C@@H]3[C@H](O2)C2=CC(C(F)(F)F)=CC=C2N[C@H]3C2=CC=CC=C2)C=C1
CC[N@H+](CCO)C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccccc1,132,CC[N@H+](CCO)C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(C)(C)C)=CC=C1N[C@H]2C1=CC=CC=C1,CC1=CC=C(C(=O)N(CC[NH3+])C[C@H]2CC[C@@H]3[C@H](O2)C2=CC(C(F)(F)F)=CC=C2N[C@H]3C2=CC=CC=C2)C=C1
C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(C)(C)C)ccc1N[C@H]2c1ccccc1,133,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C(F)=C3)[C@@H]3CCCO[C@@H]3C2=C1
c1ccc([C@@H]2Nc3ccc(C4CC4)cc3[C@H]3OCCC[C@H]32)cc1,133,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C(F)=C3)[C@@H]3CCCO[C@@H]3C2=C1
CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccccc1)N2,133,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C(F)=C3)[C@@H]3CCCO[C@@H]3C2=C1
C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C3CC3)ccc1N[C@H]2c1ccc(O)cc1,133,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C(F)=C3)[C@@H]3CCCO[C@@H]3C2=C1
C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(C)(C)C)ccc1N[C@H]2c1ccc(O)cc1,133,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C(F)=C3)[C@@H]3CCCO[C@@H]3C2=C1
Oc1ccc([C@@H]2Nc3ccc(C4CC4)cc3[C@H]3OCCC[C@H]32)cc1,133,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C(F)=C3)[C@@H]3CCCO[C@@H]3C2=C1
CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccc(O)cc1)N2,133,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C(F)=C3)[C@@H]3CCCO[C@@H]3C2=C1
C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C3CC3)ccc1N[C@H]2c1cccc(F)c1,133,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C(F)=C3)[C@@H]3CCCO[C@@H]3C2=C1
C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(C)(C)C)ccc1N[C@H]2c1cccc(F)c1,133,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C(F)=C3)[C@@H]3CCCO[C@@H]3C2=C1
Fc1cccc([C@@H]2Nc3ccc(C4CC4)cc3[C@H]3OCCC[C@H]32)c1,133,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C(F)=C3)[C@@H]3CCCO[C@@H]3C2=C1
CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1cccc(F)c1)N2,133,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C(F)=C3)[C@@H]3CCCO[C@@H]3C2=C1
C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C3CC3)ccc1N[C@H]2c1ccc(O)c(F)c1,133,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C(F)=C3)[C@@H]3CCCO[C@@H]3C2=C1
C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(C)(C)C)ccc1N[C@H]2c1ccc(O)c(F)c1,133,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C(F)=C3)[C@@H]3CCCO[C@@H]3C2=C1
Oc1ccc([C@@H]2Nc3ccc(C4CC4)cc3[C@H]3OCCC[C@H]32)cc1F,133,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C(F)=C3)[C@@H]3CCCO[C@@H]3C2=C1
c1ccc([C@@H]2Nc3ccc(C4CC4)cc3[C@H]3OCCC[C@H]32)cc1,134,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,ClC1=CC=C2N[C@@H](C3=CC=CC=C3)[C@@H]3CCCO[C@@H]3C2=C1
C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(Cl)ccc1N[C@H]2c1ccccc1,134,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,ClC1=CC=C2N[C@@H](C3=CC=CC=C3)[C@@H]3CCCO[C@@H]3C2=C1
C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(C)(C)C)ccc1N[C@H]2c1ccccc1,135,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=CS3)[C@@H]3CCCO[C@@H]3C2=C1
c1ccc([C@@H]2Nc3ccc(C4CC4)cc3[C@H]3OCCC[C@H]32)cc1,135,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=CS3)[C@@H]3CCCO[C@@H]3C2=C1
CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccccc1)N2,135,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=CS3)[C@@H]3CCCO[C@@H]3C2=C1
C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C3CC3)ccc1N[C@H]2c1cccs1,135,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=CS3)[C@@H]3CCCO[C@@H]3C2=C1
C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(C)(C)C)ccc1N[C@H]2c1cccs1,135,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=CS3)[C@@H]3CCCO[C@@H]3C2=C1
c1csc([C@@H]2Nc3ccc(C4CC4)cc3[C@H]3OCCC[C@H]32)c1,135,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=CS3)[C@@H]3CCCO[C@@H]3C2=C1
C[NH+](C)CCCS(=O)(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C3CC3)ccc1N[C@H]2c1ccccc1,136,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)C1=CC=C2N[C@@H](C3=CC=CC=C3)[C@@H]3CC[C@H](CNS(=O)(=O)CCC[NH+](C)C)O[C@@H]3C2=C1
C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(C)C)ccc1N[C@H]2c1ccccc1,136,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)C1=CC=C2N[C@@H](C3=CC=CC=C3)[C@@H]3CC[C@H](CNS(=O)(=O)CCC[NH+](C)C)O[C@@H]3C2=C1
C[NH+](C)CCCC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C3CC3)ccc1N[C@H]2c1ccccc1,137,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,C[NH+](C)CCCC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Br)=CC(F)=C1N[C@H]2C1=CC=CC=C1
C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C3CC3)cc(F)c1N[C@H]2c1ccccc1,137,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,C[NH+](C)CCCC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Br)=CC(F)=C1N[C@H]2C1=CC=CC=C1
C[NH+](C)CCCC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C3CC3)cc(F)c1N[C@H]2c1ccccc1,137,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,C[NH+](C)CCCC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Br)=CC(F)=C1N[C@H]2C1=CC=CC=C1
C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(Br)ccc1N[C@H]2c1ccccc1,137,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,C[NH+](C)CCCC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Br)=CC(F)=C1N[C@H]2C1=CC=CC=C1
C[NH+](C)CCCC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(Br)ccc1N[C@H]2c1ccccc1,137,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,C[NH+](C)CCCC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Br)=CC(F)=C1N[C@H]2C1=CC=CC=C1
C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(Br)cc(F)c1N[C@H]2c1ccccc1,137,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,C[NH+](C)CCCC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Br)=CC(F)=C1N[C@H]2C1=CC=CC=C1
[NH3+]CCN(C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C3CC3)ccc1N[C@H]2c1ccccc1)c1ccccc1,138,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,[NH3+]CCN(C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1)C1=CC=CC=C1
C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccccc1,138,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,[NH3+]CCN(C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1)C1=CC=CC=C1
OCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C3CC3)ccc1N[C@H]2c1ccccc1,139,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,OCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Cl)=CC(F)=C1N[C@H]2C1=CC=CC=C1
C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C3CC3)cc(F)c1N[C@H]2c1ccccc1,139,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,OCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Cl)=CC(F)=C1N[C@H]2C1=CC=CC=C1
OCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C3CC3)cc(F)c1N[C@H]2c1ccccc1,139,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,OCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Cl)=CC(F)=C1N[C@H]2C1=CC=CC=C1
C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(Cl)ccc1N[C@H]2c1ccccc1,139,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,OCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Cl)=CC(F)=C1N[C@H]2C1=CC=CC=C1
OCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(Cl)ccc1N[C@H]2c1ccccc1,139,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,OCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Cl)=CC(F)=C1N[C@H]2C1=CC=CC=C1
C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(Cl)cc(F)c1N[C@H]2c1ccccc1,139,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,OCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Cl)=CC(F)=C1N[C@H]2C1=CC=CC=C1
C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(C)(C)C)ccc1N[C@H]2c1ccccc1,140,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CSC=C3)[C@@H]3CCCO[C@@H]3C2=C1
c1ccc([C@@H]2Nc3ccc(C4CC4)cc3[C@H]3OCCC[C@H]32)cc1,140,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CSC=C3)[C@@H]3CCCO[C@@H]3C2=C1
CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccccc1)N2,140,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CSC=C3)[C@@H]3CCCO[C@@H]3C2=C1
C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C3CC3)ccc1N[C@H]2c1ccsc1,140,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CSC=C3)[C@@H]3CCCO[C@@H]3C2=C1
C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(C)(C)C)ccc1N[C@H]2c1ccsc1,140,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CSC=C3)[C@@H]3CCCO[C@@H]3C2=C1
c1cc([C@@H]2Nc3ccc(C4CC4)cc3[C@H]3OCCC[C@H]32)cs1,140,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CSC=C3)[C@@H]3CCCO[C@@H]3C2=C1
C[NH+](C)CCNC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C3CC3)ccc1N[C@H]2c1ccccc1,141,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,C[NH+](C)CCNC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1
C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccccc1,141,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,C[NH+](C)CCNC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1
c1ccc([C@@H]2Nc3ccc(C4CC4)cc3[C@H]3OCCC[C@H]32)cc1,142,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,CC1=CC=C2N[C@@H](C3=CC=CC=C3)[C@@H]3CCCO[C@@H]3C2=C1
C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C)ccc1N[C@H]2c1ccccc1,142,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,CC1=CC=C2N[C@@H](C3=CC=CC=C3)[C@@H]3CCCO[C@@H]3C2=C1
CN(C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C3CC3)ccc1N[C@H]2c1ccccc1)S(=O)(=O)CCC[NH3+],143,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,CN(C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1)S(=O)(=O)CCC[NH3+]
C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccccc1,143,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1,CN(C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1)S(=O)(=O)CCC[NH3+]
